fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,columnas_con_problemas,en_cuarentena,temperatura_c_preparada,tratamiento_temperatura,en_cuarentena_inicial,columnas_problema_iniciales,motivos_finales,en_cuarentena_final,tratamientos_aplicados,version_tratamiento
1,2026-08-04 20:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.75,C,74.2,0,0,,False,-18.75,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
2,2026-08-04 20:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.33,C,65.0,0,0,,False,-18.33,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
3,2026-08-04 21:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.52,C,73.0,0,0,,False,-17.52,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
4,2026-08-04 21:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.96,C,85.4,0,0,,False,-17.96,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
5,2026-08-04 22:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.96,C,60.6,0,0,,False,-18.96,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
6,2026-08-04 22:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.2,C,78.8,0,0,,False,-18.2,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
7,2026-08-04 23:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-16.81,C,58.3,0,0,,False,-16.81,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
8,2026-08-04 23:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.83,C,,0,0,humedad_cabina_pct,True,-17.83,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
9,2026-08-05 00:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.66,C,69.5,0,0,,False,-18.66,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
10,2026-08-05 00:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-16.98,C,71.5,0,0,,False,-16.98,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
11,2026-08-05 01:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.04,C,61.7,0,0,,False,-18.04,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
12,2026-08-05 01:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.29,C,77.8,0,0,,False,-17.29,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
13,2026-08-05 02:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.38,C,72.0,0,0,,False,-18.38,C_ORIGINAL,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v1
