fila_bronze,chofer_id,chofer_nombre,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias,columnas_con_problemas,en_cuarentena,chofer_id_preparado,chofer_nombre_preparado,centro_distribucion_preparado,horas_conduccion_mes_preparado,salario_base_bob_preparado,ausentismo_dias_preparado,registro_canonico,excluido_como_copia,columnas_pendientes,en_cuarentena_final,registro_utilizable,version_tratamiento
1,CHO-001,Oscar Calle,La Paz,120.6,5901.26,0,,False,CHO-001,Oscar Calle,La Paz,120.6,5901.26,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
2,CHO-002,Hugo Banzer,La Paz,136.4,3931.46,1,,False,CHO-002,Hugo Banzer,La Paz,136.4,3931.46,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
3,CHO-003,Marcos Lino,Oruro,121.4,6269.76,1,,False,CHO-003,Marcos Lino,Oruro,121.4,6269.76,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
4,CHO-004,Adolfo Perez,Santa Cruz,195.5,4940.3,3,,False,CHO-004,Adolfo Perez,Santa Cruz,195.5,4940.3,3,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
5,CHO-005,Rene Rojas,La Paz,164.8,6144.78,0,,False,CHO-005,Rene Rojas,La Paz,164.8,6144.78,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
6,CHO-006,Oscar Calle,Cochabamba,193.3,5719.85,0,,False,CHO-006,Oscar Calle,Cochabamba,193.3,5719.85,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
7,CHO-007,Adolfo Perez,La Paz,168.6,5215.46,0,,False,CHO-007,Adolfo Perez,La Paz,168.6,5215.46,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
8,CHO-008,Hugo Banzer,Tarija,207.0,4772.64,1,,False,CHO-008,Hugo Banzer,Tarija,207.0,4772.64,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
9,CHO-009,Rene Rojas,Tarija,168.6,5528.74,0,,False,CHO-009,Rene Rojas,Tarija,168.6,5528.74,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
10, cho-010 ,Marcos Lino,Tarija,171.2,4185.58,2,chofer_id,True, cho-010 ,Marcos Lino,Tarija,171.2,4185.58,2,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
11,CHO-011,Adolfo Perez,Santa Cruz,143.3,5098.29,1,,False,CHO-011,Adolfo Perez,Santa Cruz,143.3,5098.29,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
12,CHO-012,Marcos Lino,Tarija,176.3,6492.63,1,,False,CHO-012,Marcos Lino,Tarija,176.3,6492.63,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
13,CHO-013,Adolfo Perez,Santa Cruz,199.6,4947.25,2,,False,CHO-013,Adolfo Perez,Santa Cruz,199.6,4947.25,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
14,CHO-014,Hugo Banzer,Cochabamba,167.7,5292.01,0,,False,CHO-014,Hugo Banzer,Cochabamba,167.7,5292.01,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
15,CHO-015,Marcos Lino,Tarija,113.2,6383.52,0,,False,CHO-015,Marcos Lino,Tarija,113.2,6383.52,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
16,CHO-016,Marcos Lino,Cochabamba,175.4,6382.79,0,,False,CHO-016,Marcos Lino,Cochabamba,175.4,6382.79,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
17,CHO-017,Rene Rojas,La Paz,178.1,5978.01,1,,False,CHO-017,Rene Rojas,La Paz,178.1,5978.01,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
18,CHO-018,Oscar Calle,Santa Cruz,213.4,4574.24,1,,False,CHO-018,Oscar Calle,Santa Cruz,213.4,4574.24,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
19,CHO-019,Marcos Lino,Cochabamba,183.9,3830.85,0,,False,CHO-019,Marcos Lino,Cochabamba,183.9,3830.85,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
20,CHO-020,Hugo Banzer,Santa Cruz,126.4,4414.87,0,,False,CHO-020,Hugo Banzer,Santa Cruz,126.4,4414.87,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
21,CHO-021,Hugo Banzer,La Paz,142.5,6339.53,0,,False,CHO-021,Hugo Banzer,La Paz,142.5,6339.53,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
22,CHO-022,Adolfo Perez,Oruro,147.7,4412.02,0,,False,CHO-022,Adolfo Perez,Oruro,147.7,4412.02,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
23,CHO-023,Oscar Calle,La Paz,115.1,5335.1,0,,False,CHO-023,Oscar Calle,La Paz,115.1,5335.1,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
24,CHO-024,Rene Rojas,Santa Cruz,224.6,5820.17,0,,False,CHO-024,Rene Rojas,Santa Cruz,224.6,5820.17,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
25,CHO-025,Juan Tapia,Santa Cruz,186.9,3550.96,0,,False,CHO-025,Juan Tapia,Santa Cruz,186.9,3550.96,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
26,CHO-026,Adolfo Perez,Tarija,172.7,5030.36,0,,False,CHO-026,Adolfo Perez,Tarija,172.7,5030.36,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
27,CHO-027,Marcos Lino,La Paz,176.7,6175.23,0,,False,CHO-027,Marcos Lino,La Paz,176.7,6175.23,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
28,CHO-028,Juan Tapia,Santa Cruz,185.2,4872.36,0,,False,CHO-028,Juan Tapia,Santa Cruz,185.2,4872.36,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
29,CHO-029,Rene Rojas,Santa Cruz,165.3,5945.58,0,,False,CHO-029,Rene Rojas,Santa Cruz,165.3,5945.58,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
30,CHO-030,Rene Rojas,Santa Cruz,130.2,4224.31,0,,False,CHO-030,Rene Rojas,Santa Cruz,130.2,4224.31,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
31,CHO-031,Adolfo Perez,Tarija,147.5,6293.98,0,,False,CHO-031,Adolfo Perez,Tarija,147.5,6293.98,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
32,CHO-032,Marcos Lino,Oruro,147.8,4897.2,2,,False,CHO-032,Marcos Lino,Oruro,147.8,4897.2,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
33,CHO-033,Adolfo Perez,Cochabamba,181.5,4714.35,2,,False,CHO-033,Adolfo Perez,Cochabamba,181.5,4714.35,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
34,CHO-034,Juan Tapia,Santa Cruz,145.2,6117.77,0,,False,CHO-034,Juan Tapia,Santa Cruz,145.2,6117.77,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
35,CHO-035,Hugo Banzer,Santa Cruz,127.2,4362.12,1,,False,CHO-035,Hugo Banzer,Santa Cruz,127.2,4362.12,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
36,CHO-036,Hugo Banzer,Tarija,188.1,3807.23,0,,False,CHO-036,Hugo Banzer,Tarija,188.1,3807.23,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
37,CHO-037,Adolfo Perez,Santa Cruz,124.4,4222.82,2,,False,CHO-037,Adolfo Perez,Santa Cruz,124.4,4222.82,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
38,CHO-038,Adolfo Perez,Oruro,121.7,5600.13,0,,False,CHO-038,Adolfo Perez,Oruro,121.7,5600.13,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
39,CHO-039,Rene Rojas,La Paz,117.4,4668.82,0,,False,CHO-039,Rene Rojas,La Paz,117.4,4668.82,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
40,CHO-040,Adolfo Perez,La Paz,177.2,6311.86,0,,False,CHO-040,Adolfo Perez,La Paz,177.2,6311.86,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
41,CHO-041,Adolfo Perez,Cochabamba,162.9,3709.37,2,,False,CHO-041,Adolfo Perez,Cochabamba,162.9,3709.37,2,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
42,CHO-042,Adolfo Perez,La Paz,157.7,6005.77,0,,False,CHO-042,Adolfo Perez,La Paz,157.7,6005.77,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
43,CHO-043,Marcos Lino,Tarija,185.6,4226.79,0,,False,CHO-043,Marcos Lino,Tarija,185.6,4226.79,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
44,CHO-044,Adolfo Perez,Tarija,139.1,4119.04,0,,False,CHO-044,Adolfo Perez,Tarija,139.1,4119.04,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
45,CHO-045,Jn Tapia,Tarija,180.6,5000.58,0,,False,CHO-045,Jn Tapia,Tarija,180.6,5000.58,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
46,CHO-046,Adolfo Perez,Santa Cruz,158.5,5030.67,0,,False,CHO-046,Adolfo Perez,Santa Cruz,158.5,5030.67,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
47,CHO-047,Rene Rojas,Cochabamba,166.9,4363.29,0,,False,CHO-047,Rene Rojas,Cochabamba,166.9,4363.29,0,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
48,CHO-048,Juan Tapia,Tarija,172.8,4828.72,1,,False,CHO-048,Juan Tapia,Tarija,172.8,4828.72,1,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
49,CHO-049,Hugo Banzer,La Paz,136.4,5598.37,5,,False,CHO-049,Hugo Banzer,La Paz,136.4,5598.37,5,True,False,,False,True,GIAD-M3-S4-HR-drivers-tratamiento-v1
