registro_id,timestamp_raw,equipo_id,turno,operador_nombre,temperatura_c,vibracion_mm_s,energia_kwh,produccion_t,estado_mantenimiento
EVT-000295,2026-09-02 03:00:00,REACTOR-B,C,Fernando López,73.73,4.075,655.85,41.32,SIN_ORDEN
EVT-000463,2026-09-05 15:00:00,REACTOR-B,B,Elena Quispe,70.14,3.857,631.61,37.99,SIN_ORDEN
EVT-000276,2026-09-01 17:30:00,REACTOR-B,B,Elena Quispe,69.60,3.572,619.49,36.05,SIN_ORDEN
EVT-000712,2026-09-05 19:30:00,REACTOR-C,B,Hugo Vargas,64.89,3.862,600.51,34.47,SIN_ORDEN
EVT-000324,2026-09-02 17:30:00,REACTOR-B,B,Elena Quispe,68.17,"3,758 mm/s",623.34,35.26,SIN_ORDEN
EVT-000358,2026-09-03 10:30:00,REACTOR-B,A,Diego Arce,"72,96 °C","3,685 mm/s","633,79 kWh","39,87 t",SIN_ORDEN
EVT-000349,2026-09-03 06:00:00,REACTOR-B,A,Diego Arce,78.48,4.296,"709,48 kWh",44.59,SIN_ORDEN
EVT-000705,2026-09-05 16:00:00,REACTOR-C,B,Hugo Vargas,63.24,4.543,612.57,36.79,SIN_ORDEN
EVT-000350,2026-09-03 06:30:00,REACTOR-B,A,Diego Arce,,3.526,669.26,45.72,SIN_ORDEN
EVT-000402,2026-09-04 08:30:00,REACTOR-B,A,Diego Arce,74.20,4.104,640.43,42.41,SIN_ORDEN
EVT-000109,03/09/2026 06:00,REACTOR-A,A,Ana Rojas,73.62,4.007,672.39,"43,78 t",SIN_ORDEN
EVT-000338,2026-09-03 00:30:00,REACTOR-B,C,Fernando López,72.16,3.311,657.53,41.91,SIN_ORDEN
EVT-000012,2026-09-01T05:30:00-04:00,REACTOR-A,C,Carla Méndez,74.84,3.501,690.20,"44,13 t",SIN_ORDEN
EVT-000391,2026-09-04 03:00:00,REACTOR-B,C,Fernando López,74.47,3.371,698.47,44.39,PREVENTIVO
EVT-000197,2026-09-05 02:00:00,REACTOR-A,C,Carla Méndez,71.14,3.493,615.87,38.04,SIN_ORDEN
EVT-000408,2026-09-04 11:30:00,REACTOR-B,A,Diego Arce,71.54,3.212,669.16,42.84,SIN_ORDEN
EVT-000541,2026-09-02 06:00:00,REACTOR-C,A,Gabriela Flores,71.46,4.279,663.87,40.69,SIN_ORDEN
EVT-000253,2026-09-01 06:00:00,REACTOR-B,A,Diego Arce,75.49,3.798,674.34,42.41,SIN_ORDEN
EVT-000296,2026-09-02 03:30:00,REACTOR-B,C,Fernando López,74.50,3.321,673.58,42.24,SIN_ORDEN
EVT-000525,2026-09-01 22:00:00,REACTOR-C,C,Irene Choque,66.25,3.846,602.76,31.33,SIN_ORDEN
EVT-000063,2026-09-02 07:00:00,REACTOR-A,A,Ana Rojas,74.35,"3,504 mm/s",671.77,44.45,SIN_ORDEN
EVT-000536,2026-09-02 03:30:00,REACTOR-C,C,Irene Choque,72.86,"3,914 mm/s",643.57,37.90,SIN_ORDEN
EVT-000008,2026-09-01 03:30:00,REACTOR-A,C,Carla Méndez,70.20,"3,083 mm/s","664,05 kWh",42.80,SIN_ORDEN
EVT-000098,2026-09-03 00:30:00,REACTOR-A,C,Carla Méndez,71.83,3.110,618.25,38.59,SIN_ORDEN
EVT-000422,2026-09-04 18:30:00,REACTOR-B,B,Elena Quispe,68.86,3.850,"630,09 kWh",35.95,SIN_ORDEN
EVT-000700,2026-09-05 13:30:00,REACTOR-C,A,Gabriela Flores,68.28,4.164,636.67,36.49,SIN_ORDEN
EVT-000306,2026-09-02 08:30:00,REACTOR-B,A,Diego Arce,75.96,3.976,655.31,41.66,SIN_ORDEN
EVT-000647,2026-09-04 11:00:00,REACTOR-C,A,Gabriela Flores,70.10,3.636,662.73,39.76,SIN_ORDEN
EVT-000484,2026-09-01 01:30:00,REACTOR-C,C,Irene Choque,89.8 °C,8.90 mm/s,820.0 kWh,40.47,SIN_ORDEN
EVT-000067,2026-09-02 09:00:00,REACTOR-A,A,Ana Rojas,"74,85 °C",3.239,671.67,"42,03 t",SIN_ORDEN
EVT-000066,2026-09-02 08:30:00,REACTOR-A,A,Ana Rojas,"74,45 °C",3.598,"667,00 kWh",41.90,SIN_ORDEN
EVT-000385,2026-09-04 00:00:00,REACTOR-B,C,Fernando López,74.17,4.021,"668,33 kWh",43.23,SIN_ORDEN
EVT-000309,2026-09-02 10:00:00,REACTOR-B,A,Diego Arce,75.16,3.887,645.44,40.94,SIN_ORDEN
EVT-000215,2026-09-05 11:00:00,REACTOR-A,A,Ana Rojas,68.91,2.685,"627,50 kWh",39.00,SIN_ORDEN
EVT-000112,2026-09-03 07:30:00,REACTOR-A,A,Ana Rojas,72.20,3.676,650.66,40.17,SIN_ORDEN
EVT-000251,2026-09-01 05:00:00,REACTOR-B,C,Fernando López,77.94,3.851,681.40,42.02,SIN_ORDEN
EVT-000120,2026-09-03 11:30:00,REACTOR-A,A,Ana Rojas,88.0 °C,8.00 mm/s,820.0 kWh,38.80,SIN_ORDEN
EVT-000495,2026-09-01 07:00:00,REACTOR-C,A,Gabriela Flores,72.06,3.832,671.22,41.92,SIN_ORDEN
EVT-000234,2026-09-05 20:30:00,REACTOR-A,B,Bruno Salvatierra,67.31,2.924,631.46,35.41,SIN_ORDEN
EVT-000415,2026-09-04 15:00:00,REACTOR-B,B,Elena Quispe,71.37,3.863,642.08,38.19,SIN_ORDEN
EVT-000693,2026-09-05 10:00:00,REACTOR-C,A,Gabriela Flores,"69,09 °C",3.892,666.53,40.94,SIN_ORDEN
EVT-000277,2026-09-01 18:00:00,REACTOR-B,B,Elena Quispe,67.98,"3,699 mm/s",613.22,"37,37 t",SIN_ORDEN
EVT-000699,2026-09-05 13:00:00,REACTOR-C,A,Gabriela Flores,66.50,4.208,631.09,36.83,SIN_ORDEN
EVT-000569,2026-09-02 20:00:00,REACTOR-C,B,Hugo Vargas,65.25,3.497,611.51,36.01,SIN_ORDEN
EVT-000403,2026-09-04T09:00:00-04:00,REACTOR-B,A,Diego Arce,72.90,3.726,653.45,43.38,SIN_ORDEN
EVT-000221,2026-09-05 14:00:00,REACTOR-A,B,Bruno Salvatierra,68.07,3.242,621.65,37.92,SIN_ORDEN
EVT-000675,2026-09-05 01:00:00,REACTOR-C,C,Irene Choque,68.38,"3,453 mm/s",657.65,41.61,SIN_ORDEN
EVT-000417,2026-09-04 16:00:00,REACTOR-B,B,Elena Quispe,69.71,3.699,613.68,38.47,SIN_ORDEN
EVT-000238,2026-09-05 22:30:00,REACTOR-A,C,Carla Méndez,71.53,2.990,-120 kWh,38.06,SIN_ORDEN
EVT-000496,2026-09-01 07:30:00,REACTOR-C,A,Gabriela Flores,74.42,"4,142 mm/s","661,31 kWh",41.51,SIN_ORDEN
EVT-000247,2026-09-01 03:00:00,REACTOR-B,C,Fernando López,73.44,3.756,660.30,42.90,SIN_ORDEN
EVT-000342,2026-09-03 02:30:00,REACTOR-B,C,Fernando López,76.03,3.715,,42.27,SIN_ORDEN
EVT-000607,2026-09-03 15:00:00,REACTOR-C,B,Hugo Vargas,66.11,3.721,641.98,"37,76 t",SIN_ORDEN
EVT-000111,2026-09-03 07:00:00,REACTOR-A,A,Ana Rojas,73.54,3.460,683.41,45.05,SIN_ORDEN
EVT-000687,2026-09-05 07:00:00,REACTOR-C,A,Gabriela Flores,73.62,4.062,653.56,42.52,SIN_ORDEN
EVT-000593,2026-09-03 08:00:00,REACTOR-C,A,Gabriela Flores,72.96,4.013,672.85,43.55,SIN_ORDEN
EVT-000318,2026-09-02 14:30:00,REACTOR-B,B,Elena Quispe,71.21,3.412,680.13,41.98,SIN_ORDEN
EVT-000716,2026-09-05 21:30:00,REACTOR-C,B,Hugo Vargas,65.92,3.839,601.58,NO_REGISTRADO,SIN_ORDEN
EVT-000194,2026-09-05 00:30:00,REACTOR-A,C,Carla Méndez,69.85,3.505,645.40,38.71,SIN_ORDEN
EVT-000216,05/09/2026 11:30,REACTOR-A,A,Ana Rojas,69.54,3.817,646.50,40.44,SIN_ORDEN
EVT-000360,2026-09-03 11:30:00,REACTOR-B,A,Diego Arce,72.76,"-3,5 mm/s",681.82,41.96,SIN_ORDEN
EVT-000097,2026-09-03 00:00:00,REACTOR-A,C,Carla Méndez,67.46,3.524,636.14,39.35,SIN_ORDEN
EVT-000646,2026-09-04 10:30:00,REACTOR-C,A,Gabriela Flores,69.28,3.611,660.26,41.44,CORRECTIVO
EVT-000020,01/09/2026 09:30,REACTOR-A,A,Ana Rojas,"73,62 °C",3.269,656.33,42.04,SIN_ORDEN
EVT-000133,2026-09-03 18:00:00,REACTOR-A,B,Bruno Salvatierra,66.37,3.521,600.44,34.94,SIN_ORDEN
EVT-000267,2026-09-01 13:00:00,REACTOR-B,A,Diego Arce,72.15,3.112,650.70,40.46,SIN_ORDEN
EVT-000696,2026-09-05 11:30:00,REACTOR-C,A,Gabriela Flores,"71,11 °C",3.893,624.80,35.72,SIN_ORDEN
EVT-000213,2026-09-05 10:00:00,REACTOR-A,A,Ana Rojas,72.00,"3,139 mm/s",689.88,44.58,SIN_ORDEN
EVT-000638,2026-09-04 06:30:00,REACTOR-C,A,Gabriela Flores,72.11,3.750,669.72,41.89,SIN_ORDEN
EVT-000628,2026-09-04 01:30:00,REACTOR-C,C,Irene Choque,69.11,4.334,"637,40 kWh",40.81,SIN_ORDEN
EVT-000183,2026-09-04 19:00:00,REACTOR-A,B,Bruno Salvatierra,64.93,3.399,641.47,37.84,SIN_ORDEN
EVT-000643,2026-09-04 09:00:00,REACTOR-C,A,Gabriela Flores,71.96,4.255,655.17,39.44,SIN_ORDEN
EVT-000702,2026-09-05 14:30:00,REACTOR-C,B,Hugo Vargas,63.79,4.140,626.50,37.96,SIN_ORDEN
EVT-000140,2026-09-03 21:30:00,REACTOR-A,B,Bruno Salvatierra,69.09,3.301,637.96,38.08,SIN_ORDEN
EVT-000322,2026-09-02 16:30:00,REACTOR-B,B,Elena Quispe,68.18,3.765,634.38,37.94,SIN_ORDEN
EVT-000583,2026-09-03 03:00:00,REACTOR-C,C,Irene Choque,71.96,4.246,,39.94,SIN_ORDEN
EVT-000544,2026-09-02 07:30:00,REACTOR-C,A,Gabriela Flores,"72,41 °C",3.644,678.69,43.41,SIN_ORDEN
EVT-000163,2026-09-04 09:00:00,REACTOR-A,A,Ana Rojas,"71,56 °C",3.039,672.77,41.83,SIN_ORDEN
EVT-000217,2026-09-05 12:00:00,REACTOR-A,A,Ana Rojas,68.75,"3,555 mm/s",647.84,40.31,SIN_ORDEN
EVT-000137,2026-09-03 20:00:00,REACTOR-A,B,Bruno Salvatierra,64.84,3.320,604.48,33.17,SIN_ORDEN
EVT-000156,2026-09-04 05:30:00,REACTOR-A,C,Carla Méndez,73.50,3.483,666.95,43.03,SIN_ORDEN
EVT-000336,2026-09-02 23:30:00,REACTOR-B,C,Fernando López,69.73,3.174,653.67,39.77,CORRECTIVO
EVT-000715,2026-09-05 21:00:00,REACTOR-C,B,Hugo Vargas,62.40,4.113,611.28,36.07,SIN_ORDEN
EVT-000387,2026-09-04 01:00:00,REACTOR-B,C,Fernando López,73.78,3.704,658.17,40.53,SIN_ORDEN
EVT-000634,2026-09-04 04:30:00,REACTOR-C,C,Irene Choque,71.63,3.854,"633,17 kWh",39.28,SIN_ORDEN
EVT-000435,2026-09-05 01:00:00,REACTOR-B,C,Fernando López,73.96,3.904,648.95,39.57,SIN_ORDEN
EVT-000406,2026-09-04 10:30:00,REACTOR-B,A,Diego Arce,72.46,3.466,667.03,40.22,SIN_ORDEN
EVT-000498,2026-09-01 08:30:00,REACTOR-C,A,Gabriela Flores,71.13,4.032,677.19,45.98,SIN_ORDEN
EVT-000379,2026-09-03 21:00:00,REACTOR-B,B,Elena Quispe,71.77,3.721,613.67,35.74,SIN_ORDEN
EVT-000016,2026-09-01 07:30:00,REACTOR-A,A,Ana Rojas,74.61,"3,495 mm/s","677,56 kWh","42,32 t",SIN_ORDEN
EVT-000169,04/09/2026 12:00,REACTOR-A,A,Ana Rojas,71.33,2.730,643.28,36.82,SIN_ORDEN
EVT-000612,2026-09-03 17:30:00,REACTOR-C,B,Hugo Vargas,65.39,4.350,"591,70 kWh",32.56,SIN_ORDEN
EVT-000374,2026-09-03 18:30:00,REACTOR-B,B,Elena Quispe,"66,25 °C",3.779,623.38,37.09,SIN_ORDEN
EVT-000454,2026-09-05 10:30:00,REACTOR-B,A,Diego Arce,74.55,3.311,674.47,38.96,SIN_ORDEN
EVT-000281,2026-09-01 20:00:00,REACTOR-B,B,Elena Quispe,,3.922,627.50,37.38,SIN_ORDEN
EVT-000013,2026-09-01T06:00:00-04:00,REACTOR-A,A,Ana Rojas,"73,96 °C","3,556 mm/s",697.62,43.88,SIN_ORDEN
EVT-000531,2026-09-02 01:00:00,REACTOR-C,C,Irene Choque,70.06,3.854,615.15,38.69,SIN_ORDEN
EVT-000010,2026-09-01 04:30:00,REACTOR-A,C,Carla Méndez,73.78,3.236,647.06,40.86,SIN_ORDEN
EVT-000464,2026-09-05 15:30:00,REACTOR-B,B,Elena Quispe,69.39,3.964,603.52,"38,01 t",SIN_ORDEN
EVT-000620,2026-09-03 21:30:00,REACTOR-C,B,Hugo Vargas,66.17,3.962,617.69,35.44,SIN_ORDEN
EVT-000344,2026-09-03 03:30:00,REACTOR-B,C,Fernando López,76.11,3.629,,"45,36 t",SIN_ORDEN
EVT-000205,2026-09-05 06:00:00,REACTOR-A,A,Ana Rojas,"75,41 °C",3.164,"668,10 kWh",42.23,SIN_ORDEN
EVT-000124,2026-09-03 13:30:00,REACTOR-A,A,Ana Rojas,"70,88 °C",2.987,611.61,37.22,SIN_ORDEN
EVT-000603,2026-09-03 13:00:00,REACTOR-C,A,Gabriela Flores,69.82,3.482,641.52,38.75,SIN_ORDEN
EVT-000433,2026-09-05 00:00:00,REACTOR-B,C,Fernando López,71.77,3.750,"646,19 kWh",42.75,SIN_ORDEN
EVT-000537,2026-09-02T04:00:00-04:00,REACTOR-C,C,Irene Choque,72.34,3.791,624.82,39.74,SIN_ORDEN
EVT-000718,2026-09-05 22:30:00,REACTOR-C,C,Irene Choque,66.09,4.306,595.46,36.46,SIN_ORDEN
EVT-000091,2026-09-02 21:00:00,REACTOR-A,B,Bruno Salvatierra,67.25,S/D,610.48,34.18,SIN_ORDEN
EVT-000624,2026-09-03 23:30:00,REACTOR-C,C,Irene Choque,67.70,4.430,631.48,37.56,SIN_ORDEN
EVT-000129,2026-09-03 16:00:00,REACTOR-A,B,Bruno Salvatierra,67.89,3.337,649.57,37.39,SIN_ORDEN
EVT-000641,2026-09-04 08:00:00,REACTOR-C,A,Gabriela Flores,71.02,3.587,633.65,38.40,SIN_ORDEN
EVT-000572,02/09/2026 21:30,REACTOR-C,B,Hugo Vargas,64.43,3.751,631.23,36.43,SIN_ORDEN
EVT-000188,2026-09-04 21:30:00,REACTOR-A,B,Bruno Salvatierra,69.31,3.306,618.87,"-8,0 t",SIN_ORDEN
