chofer_id,chofer_nombre,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias
CHO-001,Oscar Calle,La Paz,120.6,5901.26,0
CHO-002,Hugo Banzer,La Paz,136.4,3931.46,1
CHO-003,Marcos Lino,Oruro,121.4,6269.76,1
CHO-004,Adolfo Perez,Santa Cruz,195.5,4940.3,3
CHO-005,Rene Rojas,La Paz,164.8,6144.78,0
CHO-006,Oscar Calle,Cochabamba,193.3,5719.85,0
CHO-007,Adolfo Perez,La Paz,168.6,5215.46,0
CHO-008,Hugo Banzer,Tarija,207.0,4772.64,1
CHO-009,Rene Rojas,Tarija,168.6,5528.74,0
 cho-010 ,Marcos Lino,Tarija,171.2,4185.58,2
CHO-011,Adolfo Perez,Santa Cruz,143.3,5098.29,1
CHO-012,Marcos Lino,Tarija,176.3,6492.63,1
CHO-013,Adolfo Perez,Santa Cruz,199.6,4947.25,2
CHO-014,Hugo Banzer,Cochabamba,167.7,5292.01,0
CHO-015,Marcos Lino,Tarija,113.2,6383.52,0
CHO-016,Marcos Lino,Cochabamba,175.4,6382.79,0
CHO-017,Rene Rojas,La Paz,178.1,5978.01,1
CHO-018,Oscar Calle,Santa Cruz,213.4,4574.24,1
CHO-019,Marcos Lino,Cochabamba,183.9,3830.85,0
CHO-020,Hugo Banzer,Santa Cruz,126.4,4414.87,0
CHO-021,Hugo Banzer,La Paz,142.5,6339.53,0
CHO-022,Adolfo Perez,Oruro,147.7,4412.02,0
CHO-023,Oscar Calle,La Paz,115.1,5335.1,0
CHO-024,Rene Rojas,Santa Cruz,224.6,5820.17,0
CHO-025,Juan Tapia,Santa Cruz,186.9,3550.96,0
CHO-026,Adolfo Perez,Tarija,172.7,5030.36,0
CHO-027,Marcos Lino,La Paz,176.7,6175.23,0
CHO-028,Juan Tapia,Santa Cruz,185.2,4872.36,0
CHO-029,Rene Rojas,Santa Cruz,165.3,5945.58,0
CHO-030,Rene Rojas,Santa Cruz,130.2,4224.31,0
CHO-031,Adolfo Perez,Tarija,147.5,6293.98,0
CHO-032,Marcos Lino,Oruro,147.8,4897.2,2
CHO-033,Adolfo Perez,Cochabamba,181.5,4714.35,2
CHO-034,Juan Tapia,Santa Cruz,145.2,6117.77,0
CHO-035,Hugo Banzer,Santa Cruz,127.2,4362.12,1
CHO-036,Hugo Banzer,Tarija,188.1,3807.23,0
CHO-037,Adolfo Perez,Santa Cruz,124.4,4222.82,2
CHO-038,Adolfo Perez,Oruro,121.7,5600.13,0
CHO-039,Rene Rojas,La Paz,117.4,4668.82,0
CHO-040,Adolfo Perez,La Paz,177.2,6311.86,0
