fila_bronze,chofer_id,chofer_nombre,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias,columnas_con_problemas,en_cuarentena,chofer_id_preparado,chofer_nombre_preparado,centro_distribucion_preparado,horas_conduccion_mes_preparado,salario_base_bob_preparado,ausentismo_dias_preparado,registro_canonico,excluido_como_copia,columnas_pendientes,en_cuarentena_final,registro_utilizable,version_tratamiento
10, cho-010 ,Marcos Lino,Tarija,171.2,4185.58,2,chofer_id,True, cho-010 ,Marcos Lino,Tarija,171.2,4185.58,2,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
72, cho-072 ,Oscar Calle,La Paz,209.7,6392.98,0,chofer_id,True, cho-072 ,Oscar Calle,La Paz,209.7,6392.98,0,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
82, cho-082 ,Juan Tapia,Tarija,216.8,3910.06,1,chofer_id,True, cho-082 ,Juan Tapia,Tarija,216.8,3910.06,1,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
92, cho-092 ,Hugo Banzer,Santa Cruz,180.7,5522.66,0,chofer_id,True, cho-092 ,Hugo Banzer,Santa Cruz,180.7,5522.66,0,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
120, cho-120 ,Oscar Calle,Santa Cruz,199.6,4600.25,0,chofer_id,True, cho-120 ,Oscar Calle,Santa Cruz,199.6,4600.25,0,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
152,CHO-003,Marcos Lino,Oruro,121.4,6269.76,1,chofer_id,True,CHO-003,Marcos Lino,Oruro,121.4,6269.76,1,False,True,,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
153,CHO-056,Juan Tapia,Tarija,174.3,3892.49,0,chofer_id,True,CHO-056,Juan Tapia,Tarija,174.3,3892.49,0,False,True,,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
154,CHO-119,Jn Tapia,Oruro,179.0,5410.5,0,chofer_id,True,CHO-119,Jn Tapia,Oruro,179.0,5410.5,0,True,False,chofer_id,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
155,CHO-141,Marcos Lino,Santa Cruz,103.3,4512.52,1,chofer_id,True,CHO-141,Marcos Lino,Santa Cruz,103.3,4512.52,1,False,True,,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
156,CHO-126,Rene Rojas,La Paz,151.3,5166.52,0,chofer_id,True,CHO-126,Rene Rojas,La Paz,151.3,5166.52,0,False,True,,True,False,GIAD-M3-S4-HR-drivers-tratamiento-v1
