chofer_id,chofer_nombre,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias
CHO-001,Rene Rojas,La Paz,172.7,5681.36,0
CHO-002,Juan Tapia,Cochabamba,153.6,6041.38,0
CHO-003,Juan Tapia,Cochabamba,93.7,4598.16,0
CHO-004,Hugo Banzer,La Paz,169.3,6231.62,0
CHO-005,Hugo Banzer,Tarija,123.2,4283.68,0
CHO-006,Juan Tapia,La Paz,135.8,5326.86,0
CHO-007,Rene Rojas,Cochabamba,137.8,6284.56,0
CHO-008,Oscar Calle,Santa Cruz,148.7,3761.2,0
CHO-009,Rene Rojas,La Paz,173.5,3765.11,1
CHO-010,Rene Rojas,Tarija,136.4,3604.79,1
CHO-011,Rene Rojas,La Paz,176.8,4601.26,0
CHO-012,Hugo Banzer,Cochabamba,120.1,3541.05,0
CHO-013,Marcos Lino,La Paz,234.3,3692.38,0
CHO-014,Oscar Calle,Tarija,238.9,4270.96,0
CHO-015,Juan Tapia,Santa Cruz,133.0,5000.36,5
CHO-016,Juan Tapia,Cochabamba,131.6,3955.57,1
CHO-017,Marcos Lino,Cochabamba,143.0,5375.56,0
CHO-018,Juan Tapia,La Paz,128.2,5449.56,0
 cho-019 ,Juan Tapia,Cochabamba,180.1,4981.38,0
CHO-020,Marcos Lino,Cochabamba,138.5,5216.03,3
CHO-021,Juan Tapia,Santa Cruz,141.9,4696.47,0
CHO-022,Oscar Calle,La Paz,176.7,6363.42,0
CHO-023,Rene Rojas,La Paz,166.8,5648.63,0
CHO-024,Juan Tapia,Cochabamba,135.4,5361.52,0
CHO-025,Hugo Banzer,Tarija,150.4,5101.37,5
CHO-026,Marcos Lino,Santa Cruz,124.9,4177.09,0
CHO-027,Marcos Lino,Oruro,191.5,5633.77,0
CHO-028,Adolfo Perez,Santa Cruz,116.0,4168.91,0
CHO-029,Oscar Calle,Cochabamba,159.2,4592.87,0
CHO-030,Oscar Calle,Santa Cruz,105.8,5461.52,0
CHO-031,Oscar Calle,Cochabamba,159.5,3809.87,0
CHO-032,Oscar Calle,Tarija,127.8,5372.13,3
CHO-033,Juan Tapia,Cochabamba,144.1,4729.78,0
CHO-034,Oscar Calle,Santa Cruz,163.6,4658.1,0
CHO-035,Marcos Lino,La Paz,168.0,5645.77,0
CHO-036,Hugo Banzer,Santa Cruz,135.1,5485.66,1
CHO-037,Rene Rojas,Santa Cruz,170.7,6137.34,0
 cho-038 ,Marcos Lino,Oruro,225.6,5615.13,1
CHO-039,Adolfo Perez,Santa Cruz,159.0,5020.13,0
CHO-040,Oscar Calle,Cochabamba,189.9,5172.2,0
CHO-041,Adolfo Perez,Santa Cruz,220.3,5077.15,0
CHO-042,Oscar Calle,Cochabamba,181.6,6076.88,0
CHO-043,Oscar Calle,Tarija,209.3,4450.54,0
CHO-044,Rene Rojas,Cochabamba,155.8,4327.0,0
CHO-045,Jn Tapia,Santa Cruz,114.3,5980.33,0
